name,brand,weight,price,platform,scraping_timestamp,price_per_100g
Zero maida 100% Atta/ Wheat Bread,English Oven,400.0,55.0,blinkit,20251007_174152,13.75
White Bread,Harvest Gold,350.0,30.0,blinkit,20251007_174152,8.57
100% Atta Whole Wheat Bread,Harvest Gold,450.0,60.0,blinkit,20251007_174152,13.33
Brown Bread,English Oven,400.0,55.0,blinkit,20251007_174152,13.75
Premium White Bread 350 g,English Oven,350.0,30.0,blinkit,20251007_174152,8.57
Hearty Brown Bread,Harvest Gold,400.0,55.0,blinkit,20251007_174152,13.75
Milk Bread,English Oven,400.0,50.0,blinkit,20251007_174152,12.5
Zero Maida Multigrain Bread,English Oven,400.0,70.0,blinkit,20251007_174152,17.5
Super Fiber Wheat Bread,The Health Factory,250.0,65.0,blinkit,20251007_174152,26.0
Zero Maida Multigrain Bread,Theobroma,250.0,62.0,blinkit,20251007_174152,24.8
Zero Maida Whole Wheat Bread,The Health Factory,250.0,54.0,blinkit,20251007_174152,21.6
Multigrain Bread,Harvest Gold,450.0,70.0,blinkit,20251007_174152,15.56
Premium White Bread,English Oven,700.0,60.0,blinkit,20251007_174152,8.57
Zero Maida Whole Wheat Bread,Theobroma,350.0,62.0,blinkit,20251007_174152,17.71
Zero Maida Multigrain Bread,The Health Factory,250.0,67.0,blinkit,20251007_174152,26.8
Chef 5 Super Foods  Multigrain Bread (Brown Bread),Protein,270.0,69.0,blinkit,20251007_174152,25.56
Sandwich White Bread,Harvest Gold,450.0,40.0,blinkit,20251007_174152,8.89
Sandwich White Bread,English Oven,400.0,40.0,blinkit,20251007_174152,10.0
Zero Maida Milk Bread,The Health Factory,250.0,57.0,blinkit,20251007_174152,22.8
Zero Maida Whole Wheat Bread (250 g),Theobroma,250.0,53.0,blinkit,20251007_174152,21.2
Artisan Bakehouse Buttercrust Milk Bread,Suchali's,470.0,200.0,blinkit,20251007_174152,42.55
100% Whole Wheat Bread (Zero Maida),Harvest Gold,450.0,60.0,blinkit,20251007_174152,13.33
White Bread,Bonn,700.0,57.0,blinkit,20251007_174152,8.14
Sub Footlong Roasted Garlic Bread,English Oven,150.0,50.0,blinkit,20251007_174152,33.33
Garlic Bread,English Oven,200.0,35.0,blinkit,20251007_174152,17.5
Baker's Loaf Zero Maida Oatmeal Multigrain Bread by,Harvest Gold,350.0,90.0,blinkit,20251007_174152,25.71
High Fibre Brown Bread,Bonn,400.0,53.0,blinkit,20251007_174152,13.25
Breakfast Sandwich White Bread,Britannia,350.0,30.0,blinkit,20251007_174152,8.57
Milk Slice White Bread,Britannia,400.0,55.0,zepto,20251007_174152,13.75
Zero Maida 100% Whole Wheat Bread | Clean Label - Not Brown,The Health Factory,350.0,59.0,zepto,20251007_174152,16.86
Zero Maida 100% Whole Wheat Bread | Clean Label - Not Brown,The Health Factory,350.0,59.0,zepto,20251007_174152,16.86
Zero Maida Multigrain Bread | Clean Label - Not Brown,The Health Factory,250.0,61.0,zepto,20251007_174152,24.4
"100% Whole Wheat Bread (Zero Maida, No trans fat)",Modern,400.0,60.0,zepto,20251007_174152,15.0
Milk Plus Bread,Modern,350.0,50.0,zepto,20251007_174152,14.29
Zero Maida 100% Whole Wheat Bread,English Oven,400.0,60.0,zepto,20251007_174152,15.0
Milk Bread,English Oven,400.0,55.0,zepto,20251007_174152,13.75
Zero Maida Milk Bread | Clean Label - Not Brown,The Health Factory,250.0,57.0,zepto,20251007_174152,22.8
Zero Maida Bread - 100% Whole Wheat,The Health Factory,250.0,54.0,zepto,20251007_174152,21.6
Sandwich White Bread,English Oven,400.0,55.0,zepto,20251007_174152,13.75
Zero Maida Multigrain Bread,English Oven,400.0,65.0,zepto,20251007_174152,16.25
Zero Maida Multigrain Bread | Clean Label - Not Brown,The Health Factory,375.0,78.0,zepto,20251007_174152,20.8
Premium White Bread,English Oven,350.0,45.0,zepto,20251007_174152,12.86
100% Whole Wheat Bread (No Maida),Britannia,400.0,60.0,zepto,20251007_174152,15.0
Zero Maida Superseed Bread,Naturbaked,300.0,66.0,zepto,20251007_174152,22.0
Zero Maida Protein Bread | Clean Label - Not Brown,The Health Factory,250.0,79.0,zepto,20251007_174152,31.6
Zero Maida 100% Whole Wheat Bread,English Oven,400.0,60.0,zepto,20251007_174152,15.0
Zero Maida Milk Bread | Clean Label - Not Brown,The Health Factory,250.0,57.0,zepto,20251007_174152,22.8
"Chef Double  Bread (No Maida, Multigrain Brown Bread) - Made with MP Sharbati Wheat",Protein,270.0,99.0,zepto,20251007_174152,36.67
Zero Maida Bombay Pav | Clean Label - Not Brown,The Health Factory,4.0,38.0,zepto,20251007_174152,950.0
Vitarich Sandwich Premium White Bread,Britannia,400.0,55.0,zepto,20251007_174152,13.75
Loaf Zero Preservatives Multigrain Bread,Baker's,350.0,77.0,zepto,20251007_174152,22.0
Oven Whole Wheat Sourdough Bread,Brik,400.0,108.0,zepto,20251007_174152,27.0
Zero Maida Multigrain Bread | Clean Label - Not Brown,The Health Factory,250.0,61.0,zepto,20251007_174152,24.4
Zero Maida Multigrain Bread,English Oven,400.0,65.0,zepto,20251007_174152,16.25
Oven Artisinal Sourdough Bread,Brik,400.0,108.0,zepto,20251007_174152,27.0
Baker's Loaf: High Protein Bread,Modern,350.0,81.0,zepto,20251007_174152,23.14
Bakery Special Bread,Iyengars,400.0,72.0,zepto,20251007_174152,18.0
High Protein 5 Super Foods Bread,Protein Chef,270.0,69.0,bbnow,20251007_174152,25.56
Milk Plus Bread,MODERN,350.0,42.0,bbnow,20251007_174152,12.0
High Protein Brown Bread,Protein Chef,270.0,59.0,bbnow,20251007_174152,21.85
Fruity Bread - Tasty Treat With Fruit Bits,MODERN,200.0,20.0,bbnow,20251007_174152,10.0
Korean Bun,Lakeview,240.0,152.1,bbnow,20251007_174152,63.37
Multigrain Bread,English Oven,400.0,70.0,bbnow,20251007_174152,17.5
Milk Bread,Tasties,400.0,49.0,bbnow,20251007_174152,12.25
Zero Maida Garlic Bread,The Baker's Dozen,160.0,99.0,bbnow,20251007_174152,61.88
Sliced Bread - Big Loaf,Moreish,800.0,70.0,bbnow,20251007_174152,8.75
Artisan Herb Bread - Pre-Sliced,fresho! Signature,300.0,89.0,bbnow,20251007_174152,29.67
"Sliced Bread - Classic, Long Loaf",Moreish,400.0,40.0,bbnow,20251007_174152,10.0
"Artisan Bread - Multigrain, Pre Sliced",fresho! Signature,300.0,129.0,bbnow,20251007_174152,43.0
Rye Bread - Pre Sliced,fresho! Signature,300.0,139.0,bbnow,20251007_174152,46.33
Fun Slice Fruit Bread,Homa,200.0,25.0,bbnow,20251007_174152,12.5
"Medium Sliced White Bread - Oven Fresh, Soft, Sweet, Healthy",Nasta,400.0,45.0,bbnow,20251007_174152,11.25
Classic Sliced Bread,Moreish,400.0,45.0,bbnow,20251007_174152,11.25
"Small Sliced White Bread - Oven Fresh, Soft, Sweet, Healthy",Nasta,200.0,18.4,bbnow,20251007_174152,9.2
Real Bake - Premium Sliced Bread,Kitty,200.0,20.0,bbnow,20251007_174152,10.0
Crustless Big Slice Brown Bread - Rich In Fibre,Super,600.0,85.0,bbnow,20251007_174152,14.17
Ragi Sliced Bread,Bon & Bread,250.0,0.0,bbnow,20251007_174152,0.0
"Sliced White Bread - Fresh, Soft, Sweet, Healthy",Nasta,800.0,70.0,bbnow,20251007_174152,8.75
"Premium White Bread - Slice, Traditional",Bonn Bread,400.0,40.5,bbnow,20251007_174152,10.12
Premium French Brioche Bread - Sliced,Bon & Bread,200.0,0.0,bbnow,20251007_174152,0.0
